TimeStamp,DateTime,RH,Fan,Swing,Mode,Status,RoomTemp,Setpoint
1614416146,2/27/2021 8:55,42.26901627,1,1,1,1,30.28992081,26
1614416506,2/27/2021 9:01,41.99282837,1,1,1,1,30.44480133,26
1614416866,2/27/2021 9:07,41.75631332,1,1,1,1,30.61570168,26
1614417226,2/27/2021 9:13,41.51369476,1,1,1,1,30.74387741,26
1614417586,2/27/2021 9:19,41.31227493,1,1,1,1,30.86938286,26
1614417946,2/27/2021 9:25,41.13832474,1,1,1,1,30.99488831,26
1614418306,2/27/2021 9:31,41.00404358,1,1,1,1,31.12573433,26
1614418666,2/27/2021 9:37,40.83619308,1,1,1,1,31.20851517,26
1614419026,2/27/2021 9:43,40.72938156,1,1,1,1,31.30731583,26
1614419386,2/27/2021 9:49,40.55084991,1,1,1,1,31.40611839,26
1614419746,2/27/2021 9:55,40.43793488,1,1,1,1,31.48889923,26
1614420106,2/27/2021 10:01,40.22735977,1,1,1,1,31.54497528,26
1614420466,2/27/2021 10:07,40.07629395,1,1,1,1,31.63309669,26
1614420826,2/27/2021 10:13,39.94659424,1,1,1,1,31.67315102,26
1614421186,2/27/2021 10:19,39.80468369,1,1,1,1,31.7452507,26
1614421546,2/27/2021 10:25,39.59410858,1,1,1,1,31.77195358,26
1614421906,2/27/2021 10:31,39.51781464,1,1,1,1,31.84405327,26
1614422266,2/27/2021 10:37,39.37132645,1,1,1,1,31.85740471,26
1614422746,2/27/2021 10:45,39.21416092,1,1,1,1,31.90012932,26
1614423106,2/27/2021 10:51,39.04173279,1,1,1,1,31.91348076,26
1614423466,2/27/2021 10:57,38.94560242,1,1,1,1,31.91348076,26
1614423826,2/27/2021 11:03,38.84031296,1,1,1,1,31.94018555,26
1614424186,2/27/2021 11:09,38.67856979,1,1,1,1,31.94018555,26
1614424546,2/27/2021 11:15,38.63889694,1,1,1,1,31.95620728,26
1614424906,2/27/2021 11:21,38.62821579,1,1,1,1,31.94018555,26
1614425266,2/27/2021 11:27,38.60074615,1,1,1,1,31.95620728,26
1614425626,2/27/2021 11:33,38.58396149,1,1,1,1,31.9268322,26
1614425986,2/27/2021 11:39,38.54276276,1,1,1,1,31.91348076,26
1614426346,2/27/2021 11:45,38.50003815,1,1,1,1,31.88410759,26
1614426706,2/27/2021 11:51,38.58853912,1,1,1,1,31.85740471,26
1614427066,2/27/2021 11:57,38.47714996,1,1,1,1,31.80132675,26
1614427426,2/27/2021 12:03,38.57022858,1,1,1,1,31.78797531,26
1614427786,2/27/2021 12:09,38.55191803,1,1,1,1,31.7452507,26
1614428266,2/27/2021 12:17,38.61447906,1,1,1,1,31.70252609,26
1614428746,2/27/2021 12:25,38.68467331,1,1,1,1,31.60372353,26
1614429106,2/27/2021 12:31,38.7212944,1,1,1,1,31.56099701,26
1614429466,2/27/2021 12:37,38.73044968,1,1,1,1,31.50225067,26
1614429826,2/27/2021 12:43,38.77622604,1,1,1,1,31.43282127,26
1614430186,2/27/2021 12:49,38.82200241,1,1,1,1,31.36339378,26
1614430546,2/27/2021 12:55,38.8586235,1,1,1,1,31.32066917,26
1614430906,2/27/2021 13:01,38.92118835,1,1,1,1,31.26459122,26
1614431266,2/27/2021 13:07,39.04936218,1,1,1,1,31.19516373,26
1614431626,2/27/2021 13:13,39.11955261,1,1,1,1,31.12573433,26
1614431986,2/27/2021 13:19,39.20653152,1,1,1,1,31.03761292,26
1614432346,2/27/2021 13:25,39.25688553,1,1,1,1,30.99488831,26
1614432706,2/27/2021 13:31,39.36064529,1,1,1,1,30.9521637,26
1614433066,2/27/2021 13:37,39.3972702,1,1,1,1,30.92545891,26
1614433426,2/27/2021 13:43,39.52544403,1,1,1,1,30.86938286,26
1614433786,2/27/2021 13:49,39.66888046,1,1,1,1,30.82665825,26
1614434146,2/27/2021 13:55,39.69024277,1,1,1,1,30.78393173,26
1614434506,2/27/2021 14:01,39.76958847,1,1,1,1,30.77058029,26
1614434866,2/27/2021 14:07,39.90692139,1,1,1,1,30.78393173,26
1614435226,2/27/2021 14:13,39.95117188,1,1,1,1,30.71450424,26
1614435586,2/27/2021 14:19,40.03356934,1,1,1,1,30.71450424,26
1614435946,2/27/2021 14:25,40.06713867,1,1,1,1,30.65842628,26
1614436306,2/27/2021 14:31,40.13428116,1,1,1,1,30.65842628,26
1614436666,2/27/2021 14:37,40.16174698,1,1,1,1,30.64507484,26
1614437026,2/27/2021 14:43,40.18616104,1,1,1,1,30.64507484,26
1614437386,2/27/2021 14:49,40.29144669,1,1,1,1,30.6317234,26
1614437746,2/27/2021 14:55,40.30365372,1,1,1,1,30.60235023,26
1614438106,2/27/2021 15:01,40.31891251,1,1,1,1,30.64507484,26
1614438466,2/27/2021 15:07,40.33111954,1,1,1,1,30.61570168,26
1614438826,2/27/2021 15:13,40.39673615,1,1,1,1,30.61570168,26
1614439186,2/27/2021 15:19,40.37231827,1,1,1,1,30.61570168,26
1614439546,2/27/2021 15:25,40.39673615,1,1,1,1,30.61570168,26
